1	80857
2	80487
3	64406
4	46351
5	51154
6	33558
7	27202
8	26528
9	18012
10	52639
11	16607
12	25568
13	13538
14	14263
15	25306
16	13670
17	10759
18	15229
19	9539
20	31972
21	10283
22	9182
23	7857
24	15532
25	18274
26	7835
27	7156
28	7997
29	6155
30	29659
31	7487
32	5106
33	3059
34	2866
35	5980
36	3947
37	2469
38	2608
39	2737
40	13618
41	1906
42	2798
43	2014
44	2299
45	5397
46	1909
47	1757
48	4076
49	1862
50	20248
51	1595
52	1989
53	1493
54	1617
55	2919
56	1639
57	1354
58	1474
59	1347
60	10694
61	1224
62	1526
63	1234
64	2313
65	2992
66	1520
67	1238
68	1213
69	1039
70	6322
71	1089
72	2131
73	942
74	1033
75	4166
76	1068
77	988
78	1042
79	958
80	7257
81	987
82	985
83	916
84	1028
85	1943
86	900
87	931
88	1052
89	920
90	7627
91	874
92	984
93	1021
94	847
95	3000
96	1153
97	994
98	1274
99	2191
100	28616
101	1581
102	1042
