index	task	input	output	correct
0	conversion_actual	328	622.4	1
1	conversion_actual	941	1725.8	0
2	conversion_actual	476	888.8	0
3	conversion_actual	230	446.0	1
4	conversion_actual	577	1070.6	0
5	conversion_actual	64	147.2	1
6	conversion_actual	528	982.4	0
7	conversion_actual	964	1767.2	0
8	conversion_actual	204	399.2	0
9	conversion_actual	491	915.8	0
10	conversion_actual	318	604.4	0
11	conversion_actual	434	813.2	0
12	conversion_actual	911	1671.8	0
13	conversion_actual	890	1634.0	0
14	conversion_actual	190	374.0	1
15	conversion_actual	481	897.8	0
16	conversion_actual	405	761.0	1
17	conversion_actual	230	446.0	1
18	conversion_actual	186	366.8	1
19	conversion_actual	579	1074.2	1
20	conversion_actual	127	260.6	0
21	conversion_actual	370	698.0	1
22	conversion_actual	101	213.8	1
23	conversion_actual	197	386.6	0
24	conversion_actual	961	1761.8	0
25	conversion_actual	965	1769.0	0
26	conversion_actual	86	186.8	1
27	conversion_actual	638	1180.4	0
28	conversion_actual	45	113.0	1
29	conversion_actual	508	946.4	1
30	conversion_actual	436	816.8	0
31	conversion_actual	932	1709.6	0
32	conversion_actual	213	415.4	0
33	conversion_actual	511	951.8	1
34	conversion_actual	891	1635.8	1
35	conversion_actual	821	1509.8	0
36	conversion_actual	986	1806.8	0
37	conversion_actual	446	834.8	0
38	conversion_actual	953	1747.4	0
39	conversion_actual	464	867.2	0
40	conversion_actual	866	1590.8	0
41	conversion_actual	684	1263.2	0
42	conversion_actual	135	275.0	1
43	conversion_actual	525	977.0	1
44	conversion_actual	299	570.2	0
45	conversion_actual	287	548.6	0
46	conversion_actual	389	732.2	0
47	conversion_actual	620	1148.0	0
48	conversion_actual	184	363.2	0
49	conversion_actual	901	1653.8	1
50	conversion_actual	867	1592.6	0
51	conversion_actual	557	1034.6	0
52	conversion_actual	970	1778.0	0
53	conversion_actual	984	1803.2	0
54	conversion_actual	786	1446.8	0
55	conversion_actual	705	1301.0	0
56	conversion_actual	435	815.0	0
57	conversion_actual	982	1799.6	0
58	conversion_actual	911	1671.8	0
59	conversion_actual	12	53.6	1
60	conversion_actual	315	599.0	1
61	conversion_actual	171	339.8	0
62	conversion_actual	140	284.0	1
63	conversion_actual	198	388.4	0
64	conversion_actual	561	1041.8	0
65	conversion_actual	481	897.8	0
66	conversion_actual	555	1031.0	0
67	conversion_actual	910	1670.0	0
68	conversion_actual	4	39.2	1
69	conversion_actual	468	874.4	0
70	conversion_actual	243	469.4	0
71	conversion_actual	584	1083.2	1
72	conversion_actual	539	1002.2	0
73	conversion_actual	122	251.6	0
74	conversion_actual	965	1769.0	0
75	conversion_actual	97	206.6	1
76	conversion_actual	224	435.2	1
77	conversion_actual	647	1196.6	0
78	conversion_actual	919	1686.2	0
79	conversion_actual	130	266.0	1
80	conversion_actual	605	1121.0	1
81	conversion_actual	597	1106.6	0
82	conversion_actual	487	908.6	0
83	conversion_actual	555	1031.0	0
84	conversion_actual	304	579.2	0
85	conversion_actual	933	1711.4	0
86	conversion_actual	249	480.2	0
87	conversion_actual	769	1416.2	0
88	conversion_actual	596	1104.8	0
89	conversion_actual	796	1464.8	0
90	conversion_actual	381	717.8	0
91	conversion_actual	441	825.8	1
92	conversion_actual	89	192.2	1
93	conversion_actual	621	1149.8	1
94	conversion_actual	169	336.2	0
95	conversion_actual	768	1414.4	0
96	conversion_actual	97	206.6	1
97	conversion_actual	86	186.8	1
98	conversion_actual	79	174.2	1
99	conversion_actual	123	253.4	0
0	conversion_actualprimed	328	622.4	1
1	conversion_actualprimed	941	1725.8	1
2	conversion_actualprimed	476	888.8	0
3	conversion_actualprimed	230	446.0	1
4	conversion_actualprimed	577	1070.6	0
5	conversion_actualprimed	64	147.2	1
6	conversion_actualprimed	528	982.4	0
7	conversion_actualprimed	964	1767.2	0
8	conversion_actualprimed	204	399.2	1
9	conversion_actualprimed	491	915.8	1
10	conversion_actualprimed	318	604.4	1
11	conversion_actualprimed	434	813.2	1
12	conversion_actualprimed	911	1671.8	1
13	conversion_actualprimed	890	1634.0	0
14	conversion_actualprimed	190	374.0	1
15	conversion_actualprimed	481	897.8	1
16	conversion_actualprimed	405	761.0	1
17	conversion_actualprimed	230	446.0	1
18	conversion_actualprimed	186	366.8	1
19	conversion_actualprimed	579	1074.2	1
20	conversion_actualprimed	127	260.6	1
21	conversion_actualprimed	370	698.0	1
22	conversion_actualprimed	101	213.8	1
23	conversion_actualprimed	197	386.6	1
24	conversion_actualprimed	961	1761.8	0
25	conversion_actualprimed	965	1769.0	0
26	conversion_actualprimed	86	186.8	1
27	conversion_actualprimed	638	1180.4	1
28	conversion_actualprimed	45	113.0	1
29	conversion_actualprimed	508	946.4	1
30	conversion_actualprimed	436	816.8	1
31	conversion_actualprimed	932	1709.6	0
32	conversion_actualprimed	213	415.4	1
33	conversion_actualprimed	511	951.8	1
34	conversion_actualprimed	891	1635.8	1
35	conversion_actualprimed	821	1509.8	1
36	conversion_actualprimed	986	1806.8	1
37	conversion_actualprimed	446	834.8	1
38	conversion_actualprimed	953	1747.4	1
39	conversion_actualprimed	464	867.2	1
40	conversion_actualprimed	866	1590.8	0
41	conversion_actualprimed	684	1263.2	0
42	conversion_actualprimed	135	275.0	1
43	conversion_actualprimed	525	977.0	1
44	conversion_actualprimed	299	570.2	1
45	conversion_actualprimed	287	548.6	1
46	conversion_actualprimed	389	732.2	0
47	conversion_actualprimed	620	1148.0	1
48	conversion_actualprimed	184	363.2	1
49	conversion_actualprimed	901	1653.8	1
50	conversion_actualprimed	867	1592.6	1
51	conversion_actualprimed	557	1034.6	1
52	conversion_actualprimed	970	1778.0	1
53	conversion_actualprimed	984	1803.2	1
54	conversion_actualprimed	786	1446.8	1
55	conversion_actualprimed	705	1301.0	1
56	conversion_actualprimed	435	815.0	1
57	conversion_actualprimed	982	1799.6	0
58	conversion_actualprimed	911	1671.8	1
59	conversion_actualprimed	12	53.6	1
60	conversion_actualprimed	315	599.0	1
61	conversion_actualprimed	171	339.8	1
62	conversion_actualprimed	140	284.0	1
63	conversion_actualprimed	198	388.4	1
64	conversion_actualprimed	561	1041.8	1
65	conversion_actualprimed	481	897.8	1
66	conversion_actualprimed	555	1031.0	1
67	conversion_actualprimed	910	1670.0	1
68	conversion_actualprimed	4	39.2	1
69	conversion_actualprimed	468	874.4	0
70	conversion_actualprimed	243	469.4	1
71	conversion_actualprimed	584	1083.2	1
72	conversion_actualprimed	539	1002.2	1
73	conversion_actualprimed	122	251.6	1
74	conversion_actualprimed	965	1769.0	0
75	conversion_actualprimed	97	206.6	1
76	conversion_actualprimed	224	435.2	1
77	conversion_actualprimed	647	1196.6	1
78	conversion_actualprimed	919	1686.2	1
79	conversion_actualprimed	130	266.0	1
80	conversion_actualprimed	605	1121.0	1
81	conversion_actualprimed	597	1106.6	1
82	conversion_actualprimed	487	908.6	0
83	conversion_actualprimed	555	1031.0	1
84	conversion_actualprimed	304	579.2	0
85	conversion_actualprimed	933	1711.4	0
86	conversion_actualprimed	249	480.2	1
87	conversion_actualprimed	769	1416.2	1
88	conversion_actualprimed	596	1104.8	1
89	conversion_actualprimed	796	1464.8	0
90	conversion_actualprimed	381	717.8	1
91	conversion_actualprimed	441	825.8	1
92	conversion_actualprimed	89	192.2	1
93	conversion_actualprimed	621	1149.8	1
94	conversion_actualprimed	169	336.2	1
95	conversion_actualprimed	768	1414.4	0
96	conversion_actualprimed	97	206.6	1
97	conversion_actualprimed	86	186.8	1
98	conversion_actualprimed	79	174.2	1
99	conversion_actualprimed	123	253.4	1
0	conversion_actualprimedcontrol	328	622.4	1
1	conversion_actualprimedcontrol	941	1725.8	1
2	conversion_actualprimedcontrol	476	888.8	0
3	conversion_actualprimedcontrol	230	446.0	1
4	conversion_actualprimedcontrol	577	1070.6	0
5	conversion_actualprimedcontrol	64	147.2	1
6	conversion_actualprimedcontrol	528	982.4	0
7	conversion_actualprimedcontrol	964	1767.2	0
8	conversion_actualprimedcontrol	204	399.2	1
9	conversion_actualprimedcontrol	491	915.8	0
10	conversion_actualprimedcontrol	318	604.4	0
11	conversion_actualprimedcontrol	434	813.2	1
12	conversion_actualprimedcontrol	911	1671.8	1
13	conversion_actualprimedcontrol	890	1634.0	0
14	conversion_actualprimedcontrol	190	374.0	1
15	conversion_actualprimedcontrol	481	897.8	0
16	conversion_actualprimedcontrol	405	761.0	1
17	conversion_actualprimedcontrol	230	446.0	1
18	conversion_actualprimedcontrol	186	366.8	1
19	conversion_actualprimedcontrol	579	1074.2	1
20	conversion_actualprimedcontrol	127	260.6	1
21	conversion_actualprimedcontrol	370	698.0	1
22	conversion_actualprimedcontrol	101	213.8	1
23	conversion_actualprimedcontrol	197	386.6	1
24	conversion_actualprimedcontrol	961	1761.8	0
25	conversion_actualprimedcontrol	965	1769.0	0
26	conversion_actualprimedcontrol	86	186.8	1
27	conversion_actualprimedcontrol	638	1180.4	0
28	conversion_actualprimedcontrol	45	113.0	1
29	conversion_actualprimedcontrol	508	946.4	1
30	conversion_actualprimedcontrol	436	816.8	1
31	conversion_actualprimedcontrol	932	1709.6	0
32	conversion_actualprimedcontrol	213	415.4	1
33	conversion_actualprimedcontrol	511	951.8	1
34	conversion_actualprimedcontrol	891	1635.8	0
35	conversion_actualprimedcontrol	821	1509.8	1
36	conversion_actualprimedcontrol	986	1806.8	0
37	conversion_actualprimedcontrol	446	834.8	1
38	conversion_actualprimedcontrol	953	1747.4	1
39	conversion_actualprimedcontrol	464	867.2	1
40	conversion_actualprimedcontrol	866	1590.8	0
41	conversion_actualprimedcontrol	684	1263.2	0
42	conversion_actualprimedcontrol	135	275.0	1
43	conversion_actualprimedcontrol	525	977.0	1
44	conversion_actualprimedcontrol	299	570.2	1
45	conversion_actualprimedcontrol	287	548.6	0
46	conversion_actualprimedcontrol	389	732.2	0
47	conversion_actualprimedcontrol	620	1148.0	0
48	conversion_actualprimedcontrol	184	363.2	0
49	conversion_actualprimedcontrol	901	1653.8	1
50	conversion_actualprimedcontrol	867	1592.6	0
51	conversion_actualprimedcontrol	557	1034.6	1
52	conversion_actualprimedcontrol	970	1778.0	0
53	conversion_actualprimedcontrol	984	1803.2	1
54	conversion_actualprimedcontrol	786	1446.8	0
55	conversion_actualprimedcontrol	705	1301.0	1
56	conversion_actualprimedcontrol	435	815.0	1
57	conversion_actualprimedcontrol	982	1799.6	0
58	conversion_actualprimedcontrol	911	1671.8	0
59	conversion_actualprimedcontrol	12	53.6	1
60	conversion_actualprimedcontrol	315	599.0	1
61	conversion_actualprimedcontrol	171	339.8	0
62	conversion_actualprimedcontrol	140	284.0	1
63	conversion_actualprimedcontrol	198	388.4	0
64	conversion_actualprimedcontrol	561	1041.8	1
65	conversion_actualprimedcontrol	481	897.8	0
66	conversion_actualprimedcontrol	555	1031.0	1
67	conversion_actualprimedcontrol	910	1670.0	1
68	conversion_actualprimedcontrol	4	39.2	1
69	conversion_actualprimedcontrol	468	874.4	0
70	conversion_actualprimedcontrol	243	469.4	0
71	conversion_actualprimedcontrol	584	1083.2	1
72	conversion_actualprimedcontrol	539	1002.2	1
73	conversion_actualprimedcontrol	122	251.6	1
74	conversion_actualprimedcontrol	965	1769.0	0
75	conversion_actualprimedcontrol	97	206.6	1
76	conversion_actualprimedcontrol	224	435.2	1
77	conversion_actualprimedcontrol	647	1196.6	0
78	conversion_actualprimedcontrol	919	1686.2	0
79	conversion_actualprimedcontrol	130	266.0	1
80	conversion_actualprimedcontrol	605	1121.0	1
81	conversion_actualprimedcontrol	597	1106.6	1
82	conversion_actualprimedcontrol	487	908.6	0
83	conversion_actualprimedcontrol	555	1031.0	1
84	conversion_actualprimedcontrol	304	579.2	0
85	conversion_actualprimedcontrol	933	1711.4	1
86	conversion_actualprimedcontrol	249	480.2	1
87	conversion_actualprimedcontrol	769	1416.2	0
88	conversion_actualprimedcontrol	596	1104.8	1
89	conversion_actualprimedcontrol	796	1464.8	0
90	conversion_actualprimedcontrol	381	717.8	0
91	conversion_actualprimedcontrol	441	825.8	1
92	conversion_actualprimedcontrol	89	192.2	1
93	conversion_actualprimedcontrol	621	1149.8	0
94	conversion_actualprimedcontrol	169	336.2	1
95	conversion_actualprimedcontrol	768	1414.4	0
96	conversion_actualprimedcontrol	97	206.6	1
97	conversion_actualprimedcontrol	86	186.8	1
98	conversion_actualprimedcontrol	79	174.2	1
99	conversion_actualprimedcontrol	123	253.4	1
