101	172
20	59
118	196
636	921
659	954
152	244
236	361
677	979
232	356
165	262
187	293
236	361
614	891
258	392
650	941
552	804
484	709
197	307
105	178
300	451
406	599
653	945
25	66
169	268
96	165
250	381
163	259
56	109
319	478
679	982
115	192
446	655
174	275
659	954
364	541
457	671
105	178
396	585
359	534
12	48
258	392
268	406
23	63
597	867
216	333
42	90
452	664
96	165
377	559
33	77
250	381
299	450
92	160
240	367
120	199
299	450
626	907
41	88
415	612
25	66
591	858
209	324
214	331
41	88
155	248
184	289
4	37
573	833
650	941
439	646
164	261
349	520
134	219
197	307
227	349
492	720
152	244
568	826
113	189
380	563
524	765
523	763
542	790
326	487
579	842
163	259
261	396
494	723
584	849
641	928
412	608
221	340
434	639
118	196
388	574
451	662
165	262
686	991
73	133
306	459
