627	909
483	707
343	511
674	975
686	991
673	973
636	921
552	804
497	727
388	574
447	657
372	552
586	851
676	977
536	781
653	945
569	828
551	802
422	622
456	669
401	592
357	531
494	723
623	903
343	511
634	919
483	707
364	541
359	534
402	594
568	826
655	948
637	923
674	975
677	979
506	739
539	786
582	846
353	525
525	766
681	984
512	748
465	682
653	945
591	858
484	709
403	595
505	738
563	819
677	979
357	531
587	853
619	898
619	898
358	532
491	718
356	529
366	543
345	514
686	991
629	912
581	844
591	858
407	601
433	637
343	511
366	543
624	905
394	583
565	822
367	545
354	527
602	874
653	945
673	973
595	864
626	907
486	711
396	585
417	615
491	718
534	779
465	682
687	993
574	835
677	979
676	977
475	696
602	874
388	574
461	676
444	653
645	934
547	797
538	784
366	543
518	756
354	527
375	556
465	682
